Source,Camera_Name,Camera_ID,Apple_HLS(public),JPEG_URL(public),Latitude,Longitude
Las Vegas,Craig & Decatur,4030,https://d1wse2.its.nv.gov:443/vegasxcd06/craig_and_decatur_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_decatur_public.jpg,36.239025,-115.207893
Las Vegas,Craig & Losee,4013,https://d1wse2.its.nv.gov:443/vegasxcd06/craig_and_losee_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_losee_public.jpg,36.240077,-115.117065
Las Vegas,Craig & LV Blvd,2019,https://d1wse1.its.nv.gov:443/vegasxcd02/craig_and_lv_blvd_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_lv_blvd_public.jpg,36.240447,-115.054992
Las Vegas,Craig & MLK,4003,https://d1wse1.its.nv.gov:443/vegasxcd04/craig_and_mlk_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_mlk_public.jpg,36.239257,-115.161666
Las Vegas,Craig & Rancho,3174,https://d1wse1.its.nv.gov:443/vegasxcd03/craig_and_rancho_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_rancho_public.jpg,36.23941,-115.232635
Las Vegas,D St & I-15 SB,3135,https://d1wse1.its.nv.gov:443/vegasxcd04/i15_sb_at_d_st_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/I15_SB_at_D_St_public.jpg,36.18013,-115.147125
Las Vegas,Decatur & I-215 EB Beltway,2399,https://d1wse2.its.nv.gov:443/vegasxcd06/decatur_and_i-215_eb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/decatur_and_i-215_eb_beltway_public.jpg,36.066898,-115.207839
Las Vegas,Decatur & I-215 WB Beltway,2398,https://d1wse1.its.nv.gov:443/vegasxcd04/decatur_and_i-215_wb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/decatur_and_i-215_wb_beltway_public.jpg,36.069068,-115.207839
Las Vegas,Decatur & Sunset,2356,https://d1wse1.its.nv.gov:443/vegasxcd02/decatur_and_sunset_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/decatur_and_sunset_public.jpg,36.071941,-115.207641
Las Vegas,Desert Inn Rd EB TUNNEL ENTRANCE,8001,https://d1wse1.its.nv.gov:443/vegasxcd01/desert_inn_rd_eb_tunnel_entrance_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/desert_inn_rd_eb_tunnel_entrance_public.jpg,36.131244,-115.166526
Las Vegas,Desert Inn Rd EB TUNNEL EXIT,8002,https://d1wse1.its.nv.gov:443/vegasxcd02/desert_inn_rd_eb_tunnel_exit_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/desert_inn_rd_eb_tunnel_exit_public.jpg,36.130569,-115.16497
Las Vegas,Desert Inn Rd WB TUNNEL ENTRANCE,8003,https://d1wse2.its.nv.gov:443/vegasxcd06/desert_inn_rd_wb_tunnel_entrance_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/desert_inn_rd_wb_tunnel_entrance_public.jpg,36.130767,-115.164794
Las Vegas,Desert Inn Rd WB TUNNEL EXIT,8004,https://d1wse2.its.nv.gov:443/vegasxcd07/desert_inn_rd_wb_tunnel_exit_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/desert_inn_rd_wb_tunnel_exit_public.jpg,36.131458,-115.166473
Las Vegas,Durango & Cheyenne,3157,https://d1wse2.its.nv.gov:443/vegasxcd06/durango_and_cheyenne_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_cheyenne_public.jpg,36.218448,-115.278984
Las Vegas,Durango & I-215 EB Beltway,2226,https://d1wse2.its.nv.gov:443/vegasxcd06/durango_and_i-215_eb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_i-215_eb_beltway_public.jpg,36.065174,-115.279373
Las Vegas,Durango & I-215 WB Beltway,2036,https://d1wse1.its.nv.gov:443/vegasxcd02/durango_and_i-215_wb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_i-215_wb_beltway_public.jpg,36.067371,-115.279388
Las Vegas,Durango & Lone Mountain,2211,https://d1wse2.its.nv.gov:443/vegasxcd06/durango_and_lone_mountain_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_lone_mountain_public.jpg,36.248184,-115.278953
Las Vegas,Durango & Oso Blanca,3411,https://d1wse2.its.nv.gov:443/vegasxcd06/durango_and_oso_blanca_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_oso_blanca_public.jpg,36.295265,-115.288284
Las Vegas,Durango and Summerlin Pkwy N,3385,https://d1wse1.its.nv.gov:443/vegasxcd02/durango_and_summerlin_pkwy_n_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_summerlin_pkwy_n_public.jpg,36.178642,-115.278503
Las Vegas,Durango and Summerlin Pkwy S,3384,https://d1wse1.its.nv.gov:443/vegasxcd02/durango_and_summerlin_pkwy_s_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/durango_and_summerlin_pkwy_s_public.jpg,36.176296,-115.278419
Las Vegas,Eastern & Flamingo,2119,https://d1wse2.its.nv.gov:443/vegasxcd05/eastern_and_flamingo_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/eastern_and_flamingo_public.jpg,36.114505,-115.119476
